sharedLLM	MGspeLLM	MDMspeLLM
NA	NA	Cfl2
NA	NA	Arid4a
NA	NA	Prkch
NA	NA	Zbtb1
NA	NA	Hspa2
NA	NA	Plekhg3
NA	NA	Actn1
NA	NA	Zfyve1
NA	NA	Elmsan1
NA	NA	Cipc
NA	NA	Ston2
NA	NA	Kcnk13
NA	NA	Psmc1
NA	NA	Rin3
NA	NA	Lgmn
NA	NA	Serpina3g
NA	NA	Serpina3n
NA	NA	Vrk1
NA	NA	Gpr132
NA	NA	Jag2
NA	NA	Crip1
NA	NA	Esyt2
NA	NA	Rapgef5
NA	NA	Gdi2
NA	NA	Ero1lb
NA	NA	Gpr141
NA	NA	H2bc4
NA	NA	Dusp22
NA	NA	Irf4
NA	NA	Serpinb9
NA	NA	Serpinb6a
NA	NA	Smim13
NA	NA	Nedd9
NA	NA	Gfod1
NA	NA	Jarid2
NA	NA	Dtnbp1
NA	NA	Gmpr
NA	NA	Atxn1
NA	NA	A830005F24Rik
NA	NA	Nfil3
NA	NA	Rgs14
NA	NA	Grk6
NA	NA	Dbn1
NA	NA	Tmed9
NA	NA	Macroh2a1
NA	NA	Tgfbi
NA	NA	Golm1
NA	NA	Dapk1
NA	NA	Ctsl
NA	NA	Zfp273
NA	NA	Cast
NA	NA	Arsb
NA	NA	Lhfpl2
NA	NA	Hexb
NA	NA	Zfp366
NA	NA	Map1b
NA	NA	Gtf2h2
NA	NA	Cd180
NA	NA	Adamts6
NA	NA	Map3k1
NA	NA	Plpp1
NA	NA	Snx18
NA	NA	Emb
NA	NA	Flnb
NA	NA	Rpl15
NA	NA	Camk2g
NA	NA	Sfmbt1
NA	NA	Stab1
NA	NA	Wdfy4
NA	NA	Bmpr1a
NA	NA	Prxl2a
NA	NA	Ear2
NA	NA	Cdkn3
NA	NA	Gch1
NA	NA	Armh4
NA	NA	Tep1
NA	NA	Rnase4
NA	NA	Ang
NA	NA	Rnase6
NA	NA	Arhgef40
NA	NA	Abhd4
NA	NA	Slc7a7
NA	NA	Slc7a8
NA	NA	Ltb4r1
NA	NA	Nynrin
NA	NA	Lats2
NA	NA	Phf11a
NA	NA	Phf11b
NA	NA	Phf11c
NA	NA	Arl11
NA	NA	Ctsb
NA	NA	Pbk
NA	NA	Stmn4
NA	NA	Dpysl2
NA	NA	Cdca2
NA	NA	Dock5
NA	NA	Bmp1
NA	NA	Rcbtb2
NA	NA	Itm2b
NA	NA	Tbc1d4
NA	NA	Mycbp2
NA	NA	Ednrb
NA	NA	Stk24
NA	NA	Gpr18
NA	NA	Gpr183
NA	NA	Selenop
NA	NA	Oxct1
NA	NA	Ptger4
NA	NA	Fyb
NA	NA	Slc1a3
NA	NA	Sub1
NA	NA	Ctnnd2
NA	NA	Cpq
NA	NA	Ywhaz
NA	NA	Atp6v1c1
NA	NA	Dcstamp
NA	NA	Trps1
NA	NA	Enpp2
NA	NA	Fbxo32
NA	NA	Trmt12
NA	NA	Myc
NA	NA	Sla
NA	NA	Ago2
NA	NA	Dennd3
NA	NA	Ly6i
NA	NA	Smpd5
NA	NA	Gpaa1
NA	NA	Dgat1
NA	NA	Csf2rb
NA	NA	Maff
NA	NA	Josd1
NA	NA	Syngr1
NA	NA	Grap2
NA	NA	Mrtfa
NA	NA	Srebf2
NA	NA	Tnfrsf13c
NA	NA	Naga
NA	NA	Ttll1
NA	NA	5031439G07Rik
NA	NA	Gramd4
NA	NA	Pim3
NA	NA	Abcd2
NA	NA	Lrrk2
NA	NA	Cntn1
NA	NA	Twf1
NA	NA	Slc38a1
NA	NA	Vdr
NA	NA	Tmem106c
NA	NA	Racgap1
NA	NA	Cers5
NA	NA	Cela1
NA	NA	Galnt6
NA	NA	Grasp
NA	NA	Atg101
NA	NA	Krt80
NA	NA	Itgb7
NA	NA	Gpr84
NA	NA	Ppp1r1a
NA	NA	Mefv
NA	NA	Nlrc3
NA	NA	Dnaja3
NA	NA	Rogdi
NA	NA	Ciita
NA	NA	Comt
NA	NA	B3gnt5
NA	NA	Klhl6
NA	NA	Abcc5
NA	NA	Ap2m1
NA	NA	Vps8
NA	NA	Liph
NA	NA	St6gal1
NA	NA	Cldn1
NA	NA	Tmem44
NA	NA	Fam43a
NA	NA	Pigx
NA	NA	Tctex1d2
NA	NA	Osbpl11
NA	NA	Snx4
NA	NA	Heg1
NA	NA	Itgb5
NA	NA	Casr
NA	NA	Cd86
NA	NA	Ildr1
NA	NA	Pla1a
NA	NA	Adprh
NA	NA	Cd80
NA	NA	Tmem39a
NA	NA	Gap43
NA	NA	Zdhhc23
NA	NA	Atp6v1a
NA	NA	Cd200r4
NA	NA	Cd200r3
NA	NA	Btla
NA	NA	Cd200
NA	NA	Cd47
NA	NA	Cblb
NA	NA	Alcam
NA	NA	Dcbld2
NA	NA	Pros1
NA	NA	D16Ertd472e
NA	NA	App
NA	NA	Adamts1
NA	NA	Tiam1
NA	NA	Olig1
NA	NA	Tmem50b
NA	NA	Itsn1
NA	NA	Rcan1
NA	NA	Ttc3
NA	NA	Lca5l
NA	NA	B3galt5
NA	NA	Dscam
NA	NA	Qk
NA	NA	Agpat4
NA	NA	Rgmb
NA	NA	Mmp25
NA	NA	Tnfrsf12a
NA	NA	Prss30
NA	NA	Rps2
NA	NA	Clcn7
NA	NA	Uhrf1bp1
NA	NA	Cdkn1a
NA	NA	Pim1
NA	NA	Abcg1
NA	NA	Sik1
NA	NA	Cyp4f16
